#,Name,MLBAMID,Last,First,Lastv2,Firstv2,YahooName
1483,Edgardo Henriquez,683618,Henriquez,Edgardo,Henriquez,Edgardo,Edgardo Henriquez
1484,Anthony Molina,683627,Molina,Anthony,Molina,Anthony,Anthony Molina
1485,Royber Salinas,683690,Salinas,Royber,Salinas,Royber,
1486,Andrew Vaughn,683734,Vaughn,Andrew,Vaughn,Andrew,Andrew Vaughn
1487,Michael Busch,683737,Busch,Michael,Busch,Michael,Michael Busch
1488,Victor Mesa Jr.,683748,Mesa Jr.,Victor,Mesa Jr.,Victor,Victor Mesa Jr.
1489,Matt Canterino,683764,Canterino,Matt,Canterino,Matt,Matt Canterino
1490,Christian Koss,683766,Koss,Christian,Koss,Christian,Christian Koss
1491,Hunter Gaddis,683769,Gaddis,Hunter,Gaddis,Hunter,Hunter Gaddis
1492,Will Robertson,683770,Robertson,Will,Robertson,Will,Will Robertson
1493,Travis Bazzana,683953,Bazzana,Travis,Bazzana,Travis,
1494,Shota Imanaga,684007,Imanaga,Shota,Imanaga,Shota,Shota Imanaga
1495,Yariel Rodriguez,684320,Rodriguez,Yariel,Rodríguez,Yariel,Yariel Rodríguez
1496,Craig Yoho,684974,Yoho,Craig,Yoho,Craig,Craig Yoho
1497,Anthony Veneziano,685107,Veneziano,Anthony,Veneziano,Anthony,Anthony Veneziano
1498,Austin Kitchen,685116,Kitchen,Austin,Kitchen,Austin,Austin Kitchen
1499,Brandon Eisert,685126,Eisert,Brandon,Eisert,Brandon,Brandon Eisert
1500,Wade Meckler,685133,Meckler,Wade,Meckler,Wade,Wade Meckler
1501,Tanner Gordon,685299,Gordon,Tanner,Gordon,Tanner,Tanner Gordon
1502,Matt Gorski,685301,Gorski,Matt,Gorski,Matt,Matt Gorski
1503,Andrew Saalfrank,685314,Saalfrank,Andrew,Saalfrank,Andrew,Andrew Saalfrank
1504,Misael Tamarez,685377,Tamarez,Misael,Tamarez,Misael,
1505,Kenedy Corona,685744,Corona,Kenedy,Corona,Kenedy,Kenedy Corona
1506,Hunter Bigge,685801,Bigge,Hunter,Bigge,Hunter,Hunter Bigge
1507,Sal Frelick,686217,Frelick,Sal,Frelick,Sal,Sal Frelick
1508,Emmet Sheehan,686218,Sheehan,Emmet,Sheehan,Emmet,Emmet Sheehan
1509,Drew Millas,686452,Millas,Drew,Millas,Drew,Drew Millas
1510,Vinnie Pasquantino,686469,Pasquantino,Vinnie,Pasquantino,Vinnie,Vinnie Pasquantino
1511,Tyler Tolbert,686475,Tolbert,Tyler,Tolbert,Tyler,Tyler Tolbert
1512,Logan Driscoll,686482,Driscoll,Logan,Driscoll,Logan,Logan Driscoll
1513,Cam Eden,686490,Eden,Cam,Eden,Cam,Cam Eden
1514,Dominic Canzone,686527,Canzone,Dominic,Canzone,Dominic,Dominic Canzone
1515,Andre Lipcius,686531,Lipcius,Andre,Lipcius,Andre,Andre Lipcius
1516,Declan Cronin,686539,Cronin,Declan,Cronin,Declan,Declan Cronin
1517,Oliver Dunn,686554,Dunn,Oliver,Dunn,Oliver,Oliver Dunn
1518,Isaac Collins,686555,Collins,Isaac,Collins,Isaac,Isaac Collins
1519,Jonathan Cannon,686563,Cannon,Jonathan,Cannon,Jonathan,Jonathan Cannon
1520,Justin Slaten,686580,Slaten,Justin,Slaten,Justin,Justin Slaten
1521,Ken Waldichuk,686610,Waldichuk,Ken,Waldichuk,Ken,Ken Waldichuk
1522,Dylan Crews,686611,Crews,Dylan,Crews,Dylan,Dylan Crews
1523,Hunter Brown,686613,Brown,Hunter,Brown,Hunter,Hunter Brown
1524,Fraser Ellard,686642,Ellard,Fraser,Ellard,Fraser,Fraser Ellard
1525,Levi Stoudt,686651,Stoudt,Levi,Stoudt,Levi,Levi Stoudt
1526,Ty Adcock,686654,Adcock,Ty,Adcock,Ty,Ty Adcock
1527,Brenton Doyle,686668,Doyle,Brenton,Doyle,Brenton,Brenton Doyle
1528,Korey Lee,686676,Lee,Korey,Lee,Korey,Korey Lee
1529,Michael Massey,686681,Massey,Michael,Massey,Michael,Michael Massey
1530,Ryan Bergert,686701,Bergert,Ryan,Bergert,Ryan,Ryan Bergert
1531,Carson Spiers,686730,Spiers,Carson,Spiers,Carson,Carson Spiers
1532,Joe La Sorsa,686747,La Sorsa,Joe,La Sorsa,Joe,Joe La Sorsa
1533,Seth Johnson,686751,Johnson,Seth,Johnson,Seth,Seth Johnson
1534,Ryan Pepiot,686752,Pepiot,Ryan,Pepiot,Ryan,Ryan Pepiot
1535,Drey Jameson,686753,Jameson,Drey,Jameson,Drey,Drey Jameson
1536,Nick Sogard,686765,Sogard,Nick,Sogard,Nick,Nick Sogard
1537,Pedro Pages,686780,Pages,Pedro,Pagés,Pedro,Pedro Pagés
1538,Blake Walston,686796,Walston,Blake,Walston,Blake,Blake Walston
1539,Brooks Lee,686797,Lee,Brooks,Lee,Brooks,Brooks Lee
1540,Jack Kochanowicz,686799,Kochanowicz,Jack,Kochanowicz,Jack,Jack Kochanowicz
1541,Will Brennan,686823,Brennan,Will,Brennan,Will,Will Brennan
1542,Bryce Jarvis,686826,Jarvis,Bryce,Jarvis,Bryce,Bryce Jarvis
1543,Colby White,686831,White,Colby,White,Colby,
1544,Brendan White,686839,White,Brendan,White,Brendan,Brendan White
1545,Reggie Crawford,686846,Crawford,Reggie,Crawford,Reggie,
1546,Joey Wiemer,686894,Wiemer,Joey,Wiemer,Joey,Joey Wiemer
1547,Mason Barnett,686930,Barnett,Mason,Barnett,Mason,
1548,Drake Baldwin,686948,Baldwin,Drake,Baldwin,Drake,Drake Baldwin
1549,Cole Waites,686972,Waites,Cole,Waites,Cole,Cole Waites
1550,Louis Varland,686973,Varland,Louis,Varland,Louis,Louis Varland
1551,Justin Sterner,686993,Sterner,Justin,Sterner,Justin,Justin Sterner
1552,Brandon Young,687064,Young,Brandon,Young,Brandon,Brandon Young
1553,Eric Yang,687066,Yang,Eric,Yang,Eric,Eric Yang
1554,Brandon Sproat,687075,Sproat,Brandon,Sproat,Brandon,Brandon Sproat
1555,Vaughn Grissom,687093,Grissom,Vaughn,Grissom,Vaughn,Vaughn Grissom
1556,Bradley Blalock,687134,Blalock,Bradley,Blalock,Bradley,Bradley Blalock
1557,Evan Justice,687145,Justice,Evan,Justice,Evan,Evan Justice
1558,Zach Maxwell,687209,Maxwell,Zach,Maxwell,Zach,
1559,Dalton Rushing,687221,Rushing,Dalton,Rushing,Dalton,Dalton Rushing
1560,Darell Hernaiz,687231,Hernaiz,Darell,Hernaiz,Darell,Darell Hernaiz
1561,Zach Neto,687263,Neto,Zach,Neto,Zach,Zach Neto
1562,K.C. Hunt,687268,Hunt,K.C.,Hunt,K.C.,
1563,Quinn Mathews,687273,Mathews,Quinn,Mathews,Quinn,
1564,Gabriel Rincones Jr.,687282,Rincones Jr.,Gabriel,Rincones Jr.,Gabriel,
1565,Kevin Kelly,687330,Kelly,Kevin,Kelly,Kevin,Kevin Kelly
1566,Connor Gillispie,687362,Gillispie,Connor,Gillispie,Connor,Connor Gillispie
1567,Victor Scott II,687363,Scott II,Victor,Scott II,Victor,Victor Scott II
1568,Orlando Ribalta,687377,Ribalta,Orlando,Ribalta,Orlando,Orlando Ribalta
1569,Chad Bell,687382,Bell,Chad,Bell,Chad,
1570,Brent Headrick,687396,Headrick,Brent,Headrick,Brent,Brent Headrick
1571,Joey Ortiz,687401,Ortiz,Joey,Ortiz,Joey,Joey Ortiz
1572,Anthony Maldonado,687424,Maldonado,Anthony,Maldonado,Anthony,Anthony Maldonado
1573,Hudson Head,687431,Head,Hudson,Head,Hudson,
1574,Spencer Horwitz,687462,Horwitz,Spencer,Horwitz,Spencer,Spencer Horwitz
1575,Ryan Gusto,687473,Gusto,Ryan,Gusto,Ryan,Ryan Gusto
1576,Colby Thomas,687515,Thomas,Colby,Thomas,Colby,Colby Thomas
1577,Grant McCray,687529,McCray,Grant,McCray,Grant,Grant McCray
1578,Drew Gilbert,687551,Gilbert,Drew,Gilbert,Drew,Drew Gilbert
1579,Dom Hamel,687589,Hamel,Dom,Hamel,Dom,
1580,Jordan Beck,687597,Beck,Jordan,Beck,Jordan,Jordan Beck
1581,Paxton Schultz,687606,Schultz,Paxton,Schultz,Paxton,Paxton Schultz
1582,Dylan Beavers,687637,Beavers,Dylan,Beavers,Dylan,
1583,Kaden Polcovich,687659,Polcovich,Kaden,Polcovich,Kaden,
1584,Jackson Cluff,687714,Cluff,Jackson,Cluff,Jackson,
1585,Mitch Spence,687765,Spence,Mitch,Spence,Mitch,Mitch Spence
1586,DJ Herz,687792,Herz,DJ,Herz,DJ,DJ Herz
1587,Nick Robertson,687798,Robertson,Nick,Robertson,Nick,Nick Robertson
1588,Cade Marlowe,687799,Marlowe,Cade,Marlowe,Cade,Cade Marlowe
1589,Sawyer Gipson-Long,687830,Gipson-Long,Sawyer,Gipson-Long,Sawyer,Sawyer Gipson-Long
1590,Marc Church,687847,Church,Marc,Church,Marc,Marc Church
1591,Troy Johnston,687859,Johnston,Troy,Johnston,Troy,Troy Johnston
1592,Porter Hodge,687863,Hodge,Porter,Hodge,Porter,Porter Hodge
1593,Brandon Walter,687888,Walter,Brandon,Walter,Brandon,Brandon Walter
1594,Bryan King,687911,King,Bryan,King,Bryan,Bryan King
1595,Easton Lucas,687922,Lucas,Easton,Lucas,Easton,Easton Lucas
1596,Julian Aguiar,687924,Aguiar,Julian,Aguiar,Julian,Julian Aguiar
1597,Carson Whisenhunt,687931,Whisenhunt,Carson,Whisenhunt,Carson,Carson Whisenhunt
1598,Christian Encarnacion-Strand,687952,Encarnacion-Strand,Christian,Encarnacion-Strand,Christian,Christian Encarnacion-Strand
1599,Dustin Harris,687957,Harris,Dustin,Harris,Dustin,Dustin Harris
1600,Robert Gasser,688107,Gasser,Robert,Gasser,Robert,Robert Gasser
1601,Logan Evans,688138,Evans,Logan,Evans,Logan,Logan Evans
1602,Chris Roycroft,688297,Roycroft,Chris,Roycroft,Chris,Chris Roycroft
1603,Graham Pauley,688363,Pauley,Graham,Pauley,Graham,Graham Pauley
1604,Kolton Ingram,688427,Ingram,Kolton,Ingram,Kolton,Kolton Ingram
1605,Gavin Cross,688457,Cross,Gavin,Cross,Gavin,
1606,Zach Agnos,688642,Agnos,Zach,Agnos,Zach,Zach Agnos
1607,Blaine Crim,688760,Crim,Blaine,Crim,Blaine,Blaine Crim
1608,Landon Knack,689017,Knack,Landon,Knack,Landon,Landon Knack
1609,Orion Kerkering,689147,Kerkering,Orion,Kerkering,Orion,Orion Kerkering
1610,Chad Dallas,689149,Dallas,Chad,Dallas,Chad,
1611,Brett Wisely,689172,Wisely,Brett,Wisely,Brett,Brett Wisely
1612,Jacob Melton,689200,Melton,Jacob,Melton,Jacob,Jacob Melton
1613,Beau Brieske,689225,Brieske,Beau,Brieske,Beau,Beau Brieske
1614,Mason Fluharty,689254,Fluharty,Mason,Fluharty,Mason,Mason Fluharty
1615,Dylan Dodd,689266,Dodd,Dylan,Dodd,Dylan,Dylan Dodd
1616,Matt Koperniak,689288,Koperniak,Matt,Koperniak,Matt,
1617,Liam Hicks,689414,Hicks,Liam,Hicks,Liam,Liam Hicks
1618,Drew Thorpe,689672,Thorpe,Drew,Thorpe,Drew,Drew Thorpe
1619,Alek Jacob,689690,Jacob,Alek,Jacob,Alek,Alek Jacob
1620,Andrew Walters,689958,Walters,Andrew,Walters,Andrew,Andrew Walters
1621,River Ryan,689981,Ryan,River,Ryan,River,River Ryan
1622,Ryan Ritter,690022,Ritter,Ryan,Ritter,Ryan,Ryan Ritter
1623,Jace Jung,690291,Jung,Jace,Jung,Jace,Jace Jung
1624,Ben Joyce,690829,Joyce,Ben,Joyce,Ben,Ben Joyce
1625,Richard Fitts,690916,Fitts,Richard,Fitts,Richard,Richard Fitts
1626,Braxton Fulford,690924,Fulford,Braxton,Fulford,Braxton,Braxton Fulford
1627,Clayton Beeter,690925,Beeter,Clayton,Beeter,Clayton,Clayton Beeter
1628,Hunter Dobbins,690928,Dobbins,Hunter,Dobbins,Hunter,Hunter Dobbins
1629,Mick Abel,690953,Abel,Mick,Abel,Mick,Mick Abel
1630,Enrique Bradfield Jr.,690961,Bradfield Jr.,Enrique,Bradfield Jr.,Enrique,
1631,Alex Freeland,690976,Freeland,Alex,Freeland,Alex,Alex Freeland
1632,Dax Fulton,690978,Fulton,Dax,Fulton,Dax,
1633,Kyle Harrison,690986,Harrison,Kyle,Harrison,Kyle,Kyle Harrison
1634,Robert Hassell III,690987,Hassell III,Robert,Hassell III,Robert,Robert Hassell III
1635,Austin Hendrick,690988,Hendrick,Austin,Hendrick,Austin,
1636,Cade Horton,690990,Horton,Cade,Horton,Cade,Cade Horton
1637,Colt Keith,690993,Keith,Colt,Keith,Colt,Colt Keith
1638,Tre’ Morgan,691003,Morgan,Tre’,Morgan,Tre’,
1639,Drew Romo,691011,Romo,Drew,Romo,Drew,Drew Romo
1640,Tyler Soderstrom,691016,Soderstrom,Tyler,Soderstrom,Tyler,Tyler Soderstrom
1641,Kyle Teel,691019,Teel,Kyle,Teel,Kyle,Kyle Teel
1642,A.J. Vukovich,691021,Vukovich,A.J.,Vukovich,A.J.,
1643,Jordan Walker,691023,Walker,Jordan,Walker,Jordan,Jordan Walker
1644,Masyn Winn,691026,Winn,Masyn,Winn,Masyn,Masyn Winn
1645,Randy Wynne,691094,Wynne,Randy,Wynne,Randy,Randy Wynne
1646,Yosver Zulueta,691172,Zulueta,Yosver,Zulueta,Yosver,Yosver Zulueta
1647,Jasson Dominguez,691176,Dominguez,Jasson,Domínguez,Jasson,Jasson Domínguez
1648,Emmanuel Rodriguez,691181,Rodriguez,Emmanuel,Rodriguez,Emmanuel,
1649,Adael Amador,691182,Amador,Adael,Amador,Adael,Adael Amador
1650,Deyvison De Los Santos,691277,De Los Santos,Deyvison,De Los Santos,Deyvison,Deyvison De Los Santos
1651,Moises Chace,691330,Chace,Moises,Chace,Moisés,
1652,Junior Caminero,691406,Caminero,Junior,Caminero,Junior,Junior Caminero
1653,Cristian Mena,691441,Mena,Cristian,Mena,Cristian,Cristian Mena
1654,Eury Perez,691587,Perez,Eury,Pérez,Eury,Eury Pérez
1655,Javier Sanoja,691594,Sanoja,Javier,Sanoja,Javier,Javier Sanoja
1656,Jeferson Quero,691620,Quero,Jeferson,Quero,Jeferson,
1657,Pete Crow-Armstrong,691718,Crow-Armstrong,Pete,Crow-Armstrong,Pete,Pete Crow-Armstrong
1658,Jared Kelley,691721,Kelley,Jared,Kelley,Jared,
1659,Coby Mayo,691723,Mayo,Coby,Mayo,Coby,Coby Mayo
1660,Andrew Painter,691725,Painter,Andrew,Painter,Andrew,
1661,Zac Veen,691728,Veen,Zac,Veen,Zac,Zac Veen
1662,Max Muncy,691777,Muncy,Max,Muncy,Max,Max Muncy
1663,Brady House,691781,House,Brady,House,Brady,Brady House
1664,Jordan Lawlar,691783,Lawlar,Jordan,Lawlar,Jordan,Jordan Lawlar
1665,Marcelo Mayer,691785,Mayer,Marcelo,Mayer,Marcelo,Marcelo Mayer
1666,Grant Taylor,691799,Taylor,Grant,Taylor,Grant,Grant Taylor
1667,Sem Robberse,691828,Robberse,Sem,Robberse,Sem,
1668,Jared Serna,691858,Serna,Jared,Serna,Jared,
1669,Tsung-Che Cheng,691907,Cheng,Tsung-Che,Cheng,Tsung-Che,Tsung-Che Cheng
1670,Jesus Castillo,691913,Castillo,Jesus,Castillo,Jesus,
1671,George Klassen,691946,Klassen,George,Klassen,George,
1672,Jake Vogel,691949,Vogel,Jake,Vogel,Jake,
1673,Sam Aldegheri,691951,Aldegheri,Sam,Aldegheri,Sam,Sam Aldegheri
1674,C.J. Kayfus,692216,Kayfus,C.J.,Kayfus,C.J.,CJ Kayfus
1675,Kristian Campbell,692225,Campbell,Kristian,Campbell,Kristian,Kristian Campbell
1676,Carlos Rodriguez,692230,Rodriguez,Carlos,Rodriguez,Carlos,Carlos Rodriguez
1677,Luis Guerrero,692285,Guerrero,Luis,Guerrero,Luis,Luis Guerrero
1678,Yoniel Curet,692414,Curet,Yoniel,Curet,Yoniel,
1679,Winston Santos,692437,Santos,Winston,Santos,Winston,
1680,Yanquiel Fernandez,692585,Fernandez,Yanquiel,Fernández,Yanquiel,Yanquiel Fernández
1681,Oscar Colas,693049,Colas,Oscar,Colás,Oscar,Oscar Colás
1682,Nick Gonzales,693304,Gonzales,Nick,Gonzales,Nick,Nick Gonzales
1683,Dillon Dingler,693307,Dingler,Dillon,Dingler,Dillon,Dillon Dingler
1684,Nick Frasso,693308,Frasso,Nick,Frasso,Nick,
1685,Burl Carraway,693310,Carraway,Burl,Carraway,Burl,
1686,Tink Hence,693311,Hence,Tink,Hence,Tink,
1687,Kyle Nicolas,693312,Nicolas,Kyle,Nicolas,Kyle,Kyle Nicolas
1688,Bryan Woo,693433,Woo,Bryan,Woo,Bryan,Bryan Woo
1689,Taylor Dollard,693440,Dollard,Taylor,Dollard,Taylor,
1690,Cam Schlittler,693645,Schlittler,Cam,Schlittler,Cam,Cam Schlittler
1691,Emiliano Teodo,693713,Teodo,Emiliano,Teodo,Emiliano,
1692,Bryce Elder,693821,Elder,Bryce,Elder,Bryce,Bryce Elder
1693,Ian Seymour,693855,Seymour,Ian,Seymour,Ian,Ian Seymour
1694,Daniel Palencia,694037,Palencia,Daniel,Palencia,Daniel,Daniel Palencia
1695,Pedro Leon,694175,Leon,Pedro,León,Pedro,Pedro León
1696,Jackson Chourio,694192,Chourio,Jackson,Chourio,Jackson,Jackson Chourio
1697,Moises Ballesteros,694208,Ballesteros,Moises,Ballesteros,Moisés,Moisés Ballesteros
1698,Samuel Basallo,694212,Basallo,Samuel,Basallo,Samuel,
1699,Brandon Pfaadt,694297,Pfaadt,Brandon,Pfaadt,Brandon,Brandon Pfaadt
1700,Zach Brzykcy,694350,Brzykcy,Zach,Brzykcy,Zach,Zach Brzykcy
1701,Tyler Gentry,694355,Gentry,Tyler,Gentry,Tyler,Tyler Gentry
1702,Ricky Tiedemann,694357,Tiedemann,Ricky,Tiedemann,Ricky,
1703,Tekoah Roby,694358,Roby,Tekoah,Roby,Tekoah,
1704,Niko Kavadas,694359,Kavadas,Niko,Kavadas,Niko,Niko Kavadas
1705,Will Klein,694361,Klein,Will,Klein,Will,Will Klein
1706,Blake Dunn,694362,Dunn,Blake,Dunn,Blake,Blake Dunn
1707,Jared Shuster,694363,Shuster,Jared,Shuster,Jared,Jared Shuster
1708,Tim Tawa,694374,Tawa,Tim,Tawa,Tim,Tim Tawa
1709,Shay Whitcomb,694376,Whitcomb,Shay,Whitcomb,Shay,Shay Whitcomb
1710,Nick Yorke,694377,Yorke,Nick,Yorke,Nick,Nick Yorke
1711,Nolan Schanuel,694384,Schanuel,Nolan,Schanuel,Nolan,Nolan Schanuel
1712,Brock Wilken,694385,Wilken,Brock,Wilken,Brock,
1713,Joey Loperfido,694388,Loperfido,Joey,Loperfido,Joey,Joey Loperfido
1714,Justice Bigbie,694425,Bigbie,Justice,Bigbie,Justice,
1715,Hurston Waldrep,694462,Waldrep,Hurston,Waldrep,Hurston,Hurston Waldrep
1716,Chad Patrick,694477,Patrick,Chad,Patrick,Chad,Chad Patrick
1717,Evan Carter,694497,Carter,Evan,Carter,Evan,Evan Carter
1718,Sterlin Thompson,694514,Thompson,Sterlin,Thompson,Sterlin,
1719,Chase Hampton,694633,Hampton,Chase,Hampton,Chase,
1720,Chayce McDermott,694646,McDermott,Chayce,McDermott,Chayce,Chayce McDermott
1721,Wyatt Langford,694671,Langford,Wyatt,Langford,Wyatt,Wyatt Langford
1722,Brice Matthews,694728,Matthews,Brice,Matthews,Brice,Brice Matthews
1723,Landen Roupp,694738,Roupp,Landen,Roupp,Landen,Landen Roupp
1724,Gavin Stone,694813,Stone,Gavin,Stone,Gavin,Gavin Stone
1725,Jacob Misiorowski,694819,Misiorowski,Jacob,Misiorowski,Jacob,Jacob Misiorowski
1726,Ryan Murphy,694885,Murphy,Ryan,Murphy,Ryan,
1727,Paul Skenes,694973,Skenes,Paul,Skenes,Paul,Paul Skenes
1728,Rhett Lowder,695076,Lowder,Rhett,Lowder,Rhett,Rhett Lowder
1729,Will Wagner,695238,Wagner,Will,Wagner,Will,Will Wagner
1730,Mason Miller,695243,Miller,Mason,Miller,Mason,Mason Miller
1731,Billy Cook,695257,Cook,Billy,Cook,Billy,Billy Cook
1732,Thomas Saggese,695336,Saggese,Thomas,Saggese,Thomas,Thomas Saggese
1733,Brett Harris,695391,Harris,Brett,Harris,Brett,Brett Harris
1734,Brad Lord,695418,Lord,Brad,Lord,Brad,Brad Lord
1735,Chase Burns,695505,Burns,Chase,Burns,Chase,Chase Burns
1736,Jac Caglianone,695506,Caglianone,Jac,Caglianone,Jac,Jac Caglianone
1737,Tyler Collins,695514,Collins,Tyler,,,
1738,Chase Petty,695534,Petty,Chase,Petty,Chase,Chase Petty
1739,Jackson Jobe,695549,Jobe,Jackson,Jobe,Jackson,Jackson Jobe
1740,James Wood,695578,Wood,James,Wood,James,James Wood
1741,Colson Montgomery,695657,Montgomery,Colson,Montgomery,Colson,Colson Montgomery
1742,Harry Ford,695670,Ford,Harry,Ford,Harry,Harry Ford
1743,Christian Moore,695681,Moore,Christian,Moore,Christian,Christian Moore
1744,Daylen Lile,695734,Lile,Daylen,Lile,Daylen,Daylen Lile
1745,Josh Stephan,695776,Stephan,Josh,Stephan,Josh,
1746,Wilmer Flores,695865,Flores,Wilmer,Flores,Wilmer,
1747,Alejandro Osuna,696030,Osuna,Alejandro,Osuna,Alejandro,Alejandro Osuna
1748,Hunter Goodman,696100,Goodman,Hunter,Goodman,Hunter,Hunter Goodman
1749,Mason Black,696131,Black,Mason,Black,Mason,Mason Black
1750,Jordan Wicks,696136,Wicks,Jordan,Wicks,Jordan,Jordan Wicks
1751,Hagen Smith,696146,Smith,Hagen,Smith,Hagen,
1752,Sam Bachman,696147,Bachman,Sam,Bachman,Sam,Sam Bachman
1753,Bubba Chandler,696149,Chandler,Bubba,Chandler,Bubba,
1754,Ryan Johnson,696270,Johnson,Ryan,Johnson,Ryan,Ryan Johnson
1755,Jacob Young,696285,Young,Jacob,Young,Jacob,Jacob Young
1756,Joe Rock,697812,Rock,Joe,Rock,Joe,Joe Rock
1757,Miguel Ullola,699044,Ullola,Miguel,Ullola,Miguel,
1758,Hector Rodriguez,699302,Rodriguez,Hector,Rodriguez,Hector,
1759,Ivan Melendez,699471,Melendez,Ivan,Melendez,Ivan,
1760,Troy Taylor,700187,Taylor,Troy,Taylor,Troy,Troy Taylor
1761,Michael McGreevy,700241,McGreevy,Michael,McGreevy,Michael,Michael McGreevy
1762,Trey Sweeney,700242,Sweeney,Trey,Sweeney,Trey,Trey Sweeney
1763,Carson Williams,700246,Williams,Carson,Williams,Carson,
1764,Cade Povich,700249,Povich,Cade,Povich,Cade,Cade Povich
1765,Ben Rice,700250,Rice,Ben,Rice,Ben,Ben Rice
1766,Yilber Diaz,700270,Diaz,Yilber,Díaz,Yilber,Yilber Díaz
1767,Edgar Quero,700337,Quero,Edgar,Quero,Edgar,Edgar Quero
1768,AJ Smith-Shawver,700363,Smith-Shawver,AJ,Smith-Shawver,AJ,AJ Smith-Shawver
1769,Gordon Graceffo,700669,Graceffo,Gordon,Graceffo,Gordon,Gordon Graceffo
1770,Kyle Manzardo,700932,Manzardo,Kyle,Manzardo,Kyle,Kyle Manzardo
1771,Logan VanWey,701121,VanWey,Logan,VanWey,Logan,Logan VanWey
1772,Zach Dezenzo,701305,Dezenzo,Zach,Dezenzo,Zach,Zach Dezenzo
1773,Jackson Ferris,701328,Ferris,Jackson,Ferris,Jackson,
1774,Roman Anthony,701350,Anthony,Roman,Anthony,Roman,Roman Anthony
1775,Cam Smith,701358,Smith,Cam,Smith,Cam,Cam Smith
1776,Jackson Merrill,701538,Merrill,Jackson,Merrill,Jackson,Jackson Merrill
1777,Will Warren,701542,Warren,Will,Warren,Will,Will Warren
1778,David Festa,701581,Festa,David,Festa,David,David Festa
1779,Grant Hartwig,701643,Hartwig,Grant,Hartwig,Grant,Grant Hartwig
1780,James Triantos,701649,Triantos,James,Triantos,James,
1781,Logan Henderson,701656,Henderson,Logan,Henderson,Logan,Logan Henderson
1782,Hao-Yu Lee,701678,Lee,Hao-Yu,Lee,Hao-Yu,
1783,Nick Kurtz,701762,Kurtz,Nick,Kurtz,Nick,Nick Kurtz
1784,Justin Armbruester,701859,Armbruester,Justin,Armbruester,Justin,
1785,Will Dion,702021,Dion,Will,Dion,Will,
1786,Noah Cameron,702070,Cameron,Noah,Cameron,Noah,Noah Cameron
1787,Alan Roden,702176,Roden,Alan,Roden,Alan,Alan Roden
1788,Andrew Morris,702193,Morris,Andrew,Morris,Andrew,
1789,Justin Crawford,702222,Crawford,Justin,Crawford,Justin,
1790,Druw Jones,702258,Jones,Druw,Jones,Druw,
1791,Noah Schultz,702273,Schultz,Noah,Schultz,Noah,
1792,Robby Snelling,702281,Snelling,Robby,Snelling,Robby,
1793,Cole Young,702284,Young,Cole,Young,Cole,Cole Young
1794,RJ Schreck,702302,Schreck,RJ,Schreck,RJ,
1795,Caleb Durbin,702332,Durbin,Caleb,Durbin,Caleb,Caleb Durbin
1796,Haydn McGeary,702333,McGeary,Haydn,McGeary,Haydn,
1797,Spencer Bivens,702352,Bivens,Spencer,Bivens,Spencer,Spencer Bivens
1798,Trey Lipscomb,702358,Lipscomb,Trey,Lipscomb,Trey,Trey Lipscomb
1799,Jimmy Joyce,702460,Joyce,Jimmy,Joyce,Jimmy,
1800,Jett Williams,702518,Williams,Jett,Williams,Jett,
1801,Jackson Holliday,702616,Holliday,Jackson,Holliday,Jackson,Jackson Holliday
1802,Caden Dana,702674,Dana,Caden,Dana,Caden,Caden Dana
1803,Ryan Loutos,702795,Loutos,Ryan,Loutos,Ryan,Ryan Loutos
1804,Lazaro Montes,703155,Montes,Lazaro,Montes,Lazaro,
1805,Jarlin Susana,703186,Susana,Jarlin,Susana,Jarlin,
1806,Parker Messick,800048,Messick,Parker,Messick,Parker,Parker Messick
1807,Adam Mazur,800049,Mazur,Adam,Mazur,Adam,Adam Mazur
1808,Chase DeLauter,800050,DeLauter,Chase,DeLauter,Chase,
1809,Didier Fuentes,800311,Fuentes,Didier,Fuentes,Didier,Didier Fuentes
1810,Chase Dollander,801403,Dollander,Chase,Dollander,Chase,Chase Dollander
1811,J.J. Wetherholt,802139,Wetherholt,J.J.,Wetherholt,J.J.,
1812,Drue Hackenberg,802357,Hackenberg,Drue,Hackenberg,Drue,
1813,Chandler Simpson,802415,Simpson,Chandler,Simpson,Chandler,Chandler Simpson
1814,Thomas Harrington,802419,Harrington,Thomas,Harrington,Thomas,Thomas Harrington
1815,Reid VanScoter,804577,VanScoter,Reid,VanScoter,Reid,
1816,AJ Blubaugh,805123,Blubaugh,AJ,Blubaugh,AJ,AJ Blubaugh
1817,Otto Kemp,805249,Kemp,Otto,Kemp,Otto,Otto Kemp
1818,Jakob Marsee,805300,Marsee,Jakob,Marsee,Jakob,Jakob Marsee
1819,Chase Meidroth,805367,Meidroth,Chase,Meidroth,Chase,Chase Meidroth
1820,Nacho Alvarez Jr.,805373,Alvarez Jr.,Nacho,Alvarez Jr.,Nacho,Nacho Alvarez Jr.
1821,Zebby Matthews,805673,Matthews,Zebby,Matthews,Zebby,Zebby Matthews
1822,Jacob Wilson,805779,Wilson,Jacob,Wilson,Jacob,Jacob Wilson
1823,Walker Jenkins,805805,Jenkins,Walker,Jenkins,Walker,
1824,Bryce Eldridge,805811,Eldridge,Bryce,Eldridge,Bryce,
1825,Hayden Birdsong,806185,Birdsong,Hayden,Birdsong,Hayden,Hayden Birdsong
1826,Cooper Pratt,806198,Pratt,Cooper,Pratt,Cooper,
