,batter,player_name,game_date,stand,p_throws,pitch_type,effective_speed,pfx_x,pfx_z,plate_x,plate_z,zone,description,launch_speed,launch_angle,hc_x,hc_y,if_fielding_alignment,events
10,606466,"Vodnik, Victor",2024-03-31,L,R,FF,97.9,-0.54,1.34,0.24,2.31,5.0,hit_into_play,95.7,-14.0,153.09,155.28,Standard,field_out
11,666134,"Thompson, Ryan",2024-03-31,L,R,SI,90.3,-1.19,-0.61,-0.5,2.57,4.0,hit_into_play,66.0,-57.0,102.26,166.77,Standard,force_out
14,682998,"Vodnik, Victor",2024-03-31,L,R,SL,85.3,0.18,-0.75,0.41,1.93,9.0,hit_into_play,69.8,1.0,149.46,152.85,Strategic,field_out
23,641857,"McGough, Scott",2024-03-31,L,R,FS,85.0,-1.07,1.0,-0.39,1.82,7.0,hit_into_play,86.5,32.0,121.0,73.11,Standard,field_out
26,572233,"Feltner, Ryan",2024-03-31,R,R,SL,89.4,0.51,0.34,0.23,2.39,5.0,hit_into_play,75.5,-14.0,103.47,163.14,Strategic,field_out
27,606466,"Feltner, Ryan",2024-03-31,L,R,SL,90.4,0.51,0.59,0.71,2.71,6.0,hit_into_play,90.3,45.0,79.26,108.08,Standard,field_error
29,682998,"Feltner, Ryan",2024-03-31,L,R,FF,97.7,-0.2,1.16,0.25,2.92,2.0,hit_into_play,67.7,77.0,85.92,178.88,Standard,field_out
34,666134,"Pfaadt, Brandon",2024-03-31,L,R,FF,93.2,-0.3,1.25,1.01,3.08,12.0,hit_into_play,81.5,78.0,116.78,181.9,Standard,field_out
35,553993,"Feltner, Ryan",2024-03-31,R,R,SI,94.8,-1.13,0.78,-0.94,3.03,11.0,hit_into_play,52.5,54.0,132.26,151.84,Strategic,field_out
38,641857,"Pfaadt, Brandon",2024-03-31,L,R,FF,95.4,-0.51,1.36,-0.51,2.47,4.0,hit_into_play,97.5,24.0,67.29,70.67,Infield shade,field_out
54,682998,"Feltner, Ryan",2024-03-31,L,R,FF,96.3,-0.23,1.21,0.42,2.76,3.0,hit_into_play,70.2,48.0,98.96,120.55,Infield shade,field_out
62,677950,"Feltner, Ryan",2024-03-31,L,R,CH,88.3,-0.47,0.68,0.07,2.48,5.0,hit_into_play,98.3,-12.0,152.02,170.04,Infield shade,grounded_into_double_play
64,553993,"Feltner, Ryan",2024-03-31,R,R,SL,89.7,0.45,0.32,-0.09,2.61,5.0,hit_into_play,88.3,4.0,102.26,163.14,Standard,fielders_choice
68,572233,"Feltner, Ryan",2024-03-31,R,R,ST,83.3,0.92,-0.07,0.1,1.56,8.0,hit_into_play,103.9,25.0,75.03,38.49,Strategic,home_run
91,656811,"Estévez, Carlos",2024-03-31,L,R,FF,95.2,-0.78,1.6,-0.29,2.26,4.0,hit_into_play,99.0,30.0,52.2,76.62,Infield shade,field_out
95,621493,"Cano, Yennier",2024-03-31,R,R,SI,94.7,-1.62,-0.32,-0.3,2.4,4.0,hit_into_play,89.3,-20.0,110.04,145.83,Standard,field_out
111,683002,"Soriano, José",2024-03-31,L,R,SI,99.1,-1.36,0.56,-0.23,1.45,13.0,hit_into_play,85.9,-24.0,144.59,157.63,Standard,force_out
112,666176,"Tate, Dillon",2024-03-31,R,R,SI,92.9,-1.24,0.27,0.09,1.38,14.0,hit_into_play,102.4,-17.0,148.66,151.29,Standard,grounded_into_double_play
130,687263,"Wells, Tyler",2024-03-31,R,R,CU,76.8,0.78,-0.73,0.81,2.16,9.0,hit_into_play,96.9,32.0,113.05,44.27,Standard,field_out
150,621493,"Wells, Tyler",2024-03-31,R,R,CH,87.3,-1.45,1.06,-0.08,2.66,5.0,hit_into_play,104.7,6.0,98.86,137.98,Infield shade,field_out
170,687263,"Wells, Tyler",2024-03-31,R,R,FC,88.8,0.51,1.03,-0.16,3.12,2.0,hit_into_play,103.7,12.0,85.3,81.72,Standard,single
173,666176,"Wells, Tyler",2024-03-31,R,R,FF,94.0,-0.4,1.59,0.63,2.66,6.0,hit_into_play,111.9,16.0,61.59,70.82,Standard,field_out
178,681351,"Wells, Tyler",2024-03-31,R,R,FF,92.3,-0.53,1.59,-0.09,3.42,11.0,hit_into_play,101.2,13.0,63.48,105.89,Standard,single
182,683002,"Detmers, Reid",2024-03-31,L,L,SL,83.9,-0.44,-0.18,0.93,2.76,12.0,hit_into_play,88.3,11.0,167.15,156.32,Infield shade,field_out
185,621493,"Wells, Tyler",2024-03-31,R,R,FF,93.1,-0.62,1.76,-0.26,2.15,8.0,hit_into_play,107.6,25.0,27.53,70.27,Infield shade,home_run
187,545361,"Wells, Tyler",2024-03-31,R,R,FF,92.3,-0.35,1.56,-0.82,2.74,4.0,hit_into_play,84.3,34.0,39.88,107.3,Standard,field_out
189,683734,"Foley, Jason",2024-03-31,R,R,SI,97.6,-1.5,0.49,0.16,1.89,8.0,hit_into_play,105.7,-16.0,110.49,148.98,Standard,field_out
195,681481,"Kopech, Michael",2024-03-31,L,R,FF,94.2,-0.67,1.65,-0.02,1.69,8.0,hit_into_play,95.9,0.0,155.87,160.48,Standard,field_out
196,683734,"Flaherty, Jack",2024-03-31,R,R,KC,79.7,1.17,-0.81,0.63,1.92,9.0,hit_into_play,69.5,6.0,108.07,155.03,Standard,field_out
204,681481,"Banks, Tanner",2024-03-31,L,L,ST,79.0,-1.02,-0.08,-0.39,2.0,7.0,hit_into_play,71.0,88.0,120.17,223.41,Infield shade,field_out
210,681481,"Fedde, Erick",2024-03-31,L,R,ST,82.4,0.74,0.41,-0.35,3.5,11.0,hit_into_play,105.0,32.0,211.94,64.89,Infield shade,home_run
216,683734,"Flaherty, Jack",2024-03-31,R,R,FF,95.1,-0.34,1.23,-0.62,3.15,1.0,hit_into_play,87.2,72.0,147.96,175.51,Standard,field_out
218,681481,"Fedde, Erick",2024-03-31,L,R,SI,95.2,-1.17,1.08,-0.8,2.12,4.0,hit_into_play,102.0,-1.0,122.49,189.79,Standard,single
228,663886,"Floro, Dylan",2024-03-31,R,R,SI,89.9,-1.35,0.77,-0.89,2.7,11.0,hit_into_play,73.0,29.0,153.04,102.23,Standard,single
229,682829,"Garcia, Robert",2024-03-31,R,L,CH,86.8,1.29,0.32,0.14,2.22,8.0,hit_into_play,83.5,-21.0,101.76,171.47,Standard,force_out
230,663886,"Irvin, Jake",2024-03-31,R,R,SI,93.2,-1.38,0.54,0.33,2.02,9.0,hit_into_play,102.3,-25.0,121.15,144.8,Standard,field_out
236,682829,"Irvin, Jake",2024-03-31,L,R,FC,92.6,-0.21,0.7,0.19,2.62,5.0,hit_into_play,95.5,24.0,185.39,67.23,Infield shade,triple
241,663886,"Irvin, Jake",2024-03-31,R,R,SI,95.5,-1.53,0.44,-0.03,1.79,8.0,hit_into_play,75.8,-48.0,110.85,182.98,Standard,field_out
247,682829,"Irvin, Jake",2024-03-31,L,R,FC,92.0,-0.18,0.71,0.35,2.25,9.0,hit_into_play,101.3,-8.0,150.84,175.71,Infield shade,grounded_into_double_play
248,663656,"Holmes, Clay",2024-03-31,L,R,SI,96.9,-1.43,0.55,-0.83,2.27,13.0,hit_into_play,80.2,23.0,70.19,119.41,Standard,field_out
253,665742,"Hader, Josh",2024-03-31,L,L,SI,97.1,0.61,1.69,-0.98,3.02,11.0,hit_into_play,87.0,14.0,75.64,108.06,Standard,single
260,650402,"Hader, Josh",2024-03-31,R,L,SI,95.2,0.55,1.71,-0.63,2.61,4.0,hit_into_play,59.3,37.0,175.73,137.27,Standard,single
262,673237,"Ferguson, Caleb",2024-03-31,R,L,FC,85.5,-0.53,-0.04,0.43,2.78,3.0,hit_into_play,93.0,35.0,206.5,104.24,Standard,field_out
269,608324,"Ferguson, Caleb",2024-03-31,R,L,FF,95.3,0.76,1.19,-0.52,2.34,4.0,hit_into_play,77.5,4.0,137.82,150.57,Standard,field_out
274,665742,"Abreu, Bryan",2024-03-31,L,R,SL,89.1,0.69,-0.22,0.08,2.68,2.0,hit_into_play,90.2,46.0,65.65,114.1,Infield shade,field_out
284,673237,"Loáisiga, Jonathan",2024-03-31,R,R,SI,98.2,-1.62,0.7,-0.52,2.6,4.0,hit_into_play,91.2,6.0,120.08,103.42,Standard,single
286,608324,"Loáisiga, Jonathan",2024-03-31,R,R,SI,98.0,-1.51,0.77,-0.21,2.34,5.0,hit_into_play,87.4,6.0,156.58,161.72,Standard,field_out
289,663656,"Schmidt, Clarke",2024-03-31,L,R,CH,86.6,-0.09,-0.12,0.02,2.37,5.0,hit_into_play,98.9,-4.0,202.21,123.19,Standard,double
290,592450,"France, J.P.",2024-03-31,R,R,FF,91.6,-0.62,1.51,-0.79,3.41,1.0,hit_into_play,94.5,31.0,138.55,55.08,Standard,sac_fly
294,665742,"France, J.P.",2024-03-31,L,R,FF,91.7,-0.96,1.42,-0.27,1.82,8.0,hit_into_play,110.4,0.0,101.1,98.2,Infield shade,single
299,650402,"France, J.P.",2024-03-31,R,R,FF,90.0,-0.39,1.36,-0.2,3.07,2.0,hit_into_play,91.3,77.0,148.97,173.38,Standard,force_out
300,673237,"Schmidt, Clarke",2024-03-31,R,R,SI,94.5,-1.02,0.62,-0.15,2.01,8.0,hit_into_play,95.6,-29.0,109.43,171.86,Standard,grounded_into_double_play
303,608324,"Schmidt, Clarke",2024-03-31,R,R,ST,85.8,0.77,0.2,0.3,1.94,9.0,hit_into_play,97.7,24.0,166.15,65.7,Standard,field_out
305,663656,"Schmidt, Clarke",2024-03-31,L,R,CH,86.8,-0.44,0.0,-0.93,1.93,13.0,hit_into_play,69.4,22.0,78.19,115.11,Infield shade,single
308,592450,"France, J.P.",2024-03-31,R,R,FF,91.8,-0.8,1.33,0.12,2.64,5.0,hit_into_play,114.6,7.0,137.31,157.66,Standard,field_out
318,650402,"France, J.P.",2024-03-31,R,R,FF,91.2,-0.65,1.6,-0.81,2.57,4.0,hit_into_play,85.1,54.0,169.93,126.75,Standard,field_out
320,673237,"Schmidt, Clarke",2024-03-31,R,R,ST,84.0,1.23,0.28,0.49,2.84,3.0,hit_into_play,106.2,12.0,70.65,90.01,Standard,single
322,608324,"Schmidt, Clarke",2024-03-31,R,R,ST,84.0,1.24,0.45,0.23,1.67,8.0,hit_into_play,84.4,73.0,150.5,166.28,Standard,field_out
330,592450,"France, J.P.",2024-03-31,R,R,FF,92.0,-0.42,1.48,-0.09,3.55,2.0,hit_into_play,88.0,71.0,145.43,159.69,Infield shade,field_out
334,665742,"France, J.P.",2024-03-31,L,R,FF,93.2,-0.75,1.39,0.08,2.1,5.0,hit_into_play,112.8,8.0,155.33,87.17,Infield shade,single
335,650402,"France, J.P.",2024-03-31,R,R,FF,92.9,-0.55,1.53,-0.63,2.27,4.0,hit_into_play,91.6,56.0,114.85,110.33,Infield shade,field_out
346,521692,"Jackson, Jay",2024-03-31,R,R,SL,84.9,0.39,0.4,0.5,2.43,6.0,hit_into_play,95.0,36.0,65.74,60.42,Standard,field_out
360,670242,"Singer, Brady",2024-03-31,L,R,SL,86.3,0.34,-0.12,-0.15,2.31,8.0,hit_into_play,103.7,13.0,171.25,67.39,Infield shade,double
380,672580,"Duarte, Daniel",2024-03-31,R,R,FF,96.0,-0.47,1.5,0.44,3.06,3.0,hit_into_play,96.2,-12.0,141.27,148.68,Standard,field_out
386,621043,"Singer, Brady",2024-03-31,R,R,SL,84.5,0.47,-0.13,-0.16,2.04,8.0,hit_into_play,75.6,8.0,115.08,138.35,Standard,field_out
391,521692,"Funderburk, Kody",2024-03-31,R,L,FC,93.4,0.04,0.98,-0.03,2.92,5.0,hit_into_play,102.2,4.0,72.44,102.12,Standard,single
393,686469,"Funderburk, Kody",2024-03-31,L,L,FC,93.6,-0.08,1.02,-0.21,2.98,2.0,hit_into_play,97.0,-13.0,150.45,143.19,Infield shade,field_out
398,677951,"Funderburk, Kody",2024-03-31,R,L,FC,93.7,-0.13,1.0,-0.69,1.53,13.0,hit_into_play,109.8,30.0,109.58,24.08,Standard,home_run
400,672580,"Funderburk, Kody",2024-03-31,R,L,FC,93.4,-0.3,1.0,-0.78,2.11,7.0,hit_into_play,92.4,-5.0,104.83,160.32,Standard,field_out
403,521692,"Ober, Bailey",2024-03-31,R,R,SL,86.4,0.56,0.28,0.92,2.92,12.0,hit_into_play,77.0,6.0,116.47,91.49,Strategic,single
414,677951,"Ober, Bailey",2024-03-31,R,R,FF,93.3,-0.56,1.46,0.09,2.85,5.0,hit_into_play,104.1,30.0,169.39,43.06,Standard,triple
416,672580,"Ober, Bailey",2024-03-31,R,R,FF,93.6,-0.74,1.32,-0.49,3.03,1.0,hit_into_play,103.8,28.0,57.82,41.78,Standard,home_run
431,521692,"Ober, Bailey",2024-03-31,R,R,CH,85.1,-1.3,0.54,0.61,1.69,9.0,hit_into_play,98.7,31.0,39.55,61.13,Standard,home_run
437,686469,"Ober, Bailey",2024-03-31,L,R,FF,94.4,-0.68,1.35,0.06,2.64,5.0,hit_into_play,75.3,27.0,107.36,88.96,Infield shade,single
443,677951,"Ober, Bailey",2024-03-31,R,R,FF,95.4,-0.88,1.23,-0.28,3.53,1.0,hit_into_play,110.1,7.0,75.98,89.98,Standard,single
447,672580,"Ober, Bailey",2024-03-31,R,R,SL,89.5,0.39,0.34,0.62,2.33,6.0,hit_into_play,84.9,8.0,137.22,134.51,Standard,field_out
449,621439,"Singer, Brady",2024-03-31,R,R,SL,85.4,0.52,0.16,0.52,1.71,9.0,hit_into_play,81.3,5.0,101.79,164.37,Standard,field_out
452,571970,"King, John",2024-03-31,L,L,SL,84.4,0.05,0.07,0.51,2.3,6.0,hit_into_play,107.0,31.0,208.5,49.8,Standard,home_run
456,518692,"Pallante, Andre",2024-03-31,L,R,FF,97.6,0.25,0.91,-0.43,2.41,4.0,hit_into_play,93.8,-18.0,144.4,155.04,Standard,field_out
458,660271,"Pallante, Andre",2024-03-31,L,R,FF,96.7,-0.11,0.72,0.07,2.71,5.0,hit_into_play,77.4,-51.0,140.16,181.08,Infield shade,field_out
464,691023,"Crismatt, Nabil",2024-03-31,R,R,FF,90.4,-0.77,0.99,0.73,2.05,9.0,hit_into_play,83.7,4.0,113.52,150.2,Standard,force_out
473,571970,"Kittredge, Andrew",2024-03-31,L,R,SL,90.3,0.54,-0.13,-0.21,2.0,8.0,hit_into_play,100.2,14.0,164.46,134.8,Standard,single
478,518692,"Matz, Steven",2024-03-31,L,L,SI,95.8,1.53,0.85,-0.46,2.58,4.0,hit_into_play,104.3,16.0,132.49,59.6,Standard,field_out
486,660271,"Matz, Steven",2024-03-31,L,L,CH,83.9,1.14,0.4,0.24,3.1,2.0,hit_into_play,115.8,16.0,214.04,108.74,Infield shade,double
493,676475,"Vesia, Alex",2024-03-31,L,L,FF,92.7,0.86,1.57,0.37,2.59,6.0,hit_into_play,88.4,80.0,140.41,203.21,Infield shade,field_out
505,518692,"Matz, Steven",2024-03-31,L,L,SI,97.2,1.5,0.79,-0.47,2.68,4.0,hit_into_play,97.5,-10.0,116.55,148.39,Strategic,field_out
510,691023,"Stone, Gavin",2024-03-31,R,R,CH,88.4,-1.01,0.61,0.35,2.11,9.0,hit_into_play,81.0,0.0,98.39,164.13,Strategic,field_out
518,575929,"Stone, Gavin",2024-03-31,R,R,CU,84.6,0.12,-0.65,-0.35,2.27,4.0,hit_into_play,90.4,-20.0,98.39,165.34,Strategic,field_out
525,691023,"Stone, Gavin",2024-03-31,R,R,FF,95.6,-0.84,1.08,0.8,2.91,6.0,hit_into_play,98.7,-16.0,112.92,152.62,Strategic,force_out
530,676475,"Stone, Gavin",2024-03-31,L,R,FC,95.7,-0.05,1.25,0.96,2.46,14.0,hit_into_play,71.2,24.0,178.08,113.58,Infield shade,single
554,668804,"Gutierrez, Vladimir",2024-03-31,L,R,FF,94.8,-0.74,1.25,-0.06,2.21,5.0,hit_into_play,76.6,-36.0,116.91,149.65,Standard,field_out
568,668804,"Rogers, Trevor",2024-03-31,R,L,CH,87.3,0.94,-0.08,0.38,2.13,6.0,hit_into_play,52.1,-54.0,116.8,184.97,Standard,single
577,668804,"Rogers, Trevor",2024-03-31,R,L,SI,93.1,1.53,0.69,0.41,2.06,6.0,hit_into_play,100.6,-17.0,115.82,136.28,Standard,field_out
586,624413,"Hudson, Bryan",2024-03-31,R,L,FC,88.3,0.08,0.34,-0.22,1.97,8.0,hit_into_play,80.6,2.0,147.21,151.47,Standard,field_out
596,668930,"Smith, Drew",2024-03-31,L,R,FF,94.5,-0.75,1.49,-0.1,3.17,2.0,hit_into_play,86.8,46.0,52.84,128.06,Standard,field_out
599,607043,"Hudson, Bryan",2024-03-31,L,L,FC,87.9,0.2,0.19,0.13,2.28,5.0,hit_into_play,92.4,49.0,146.68,109.13,Standard,field_out
601,656555,"Ramírez, Yohan",2024-03-31,R,R,SI,95.8,-1.46,0.62,-0.87,2.61,11.0,hit_into_play,88.1,10.0,86.42,159.17,Standard,field_out
604,592885,"Ramírez, Yohan",2024-03-31,L,R,FF,97.8,-0.71,1.16,0.31,2.15,6.0,hit_into_play,95.3,55.0,78.06,128.29,Standard,field_out
605,661388,"Ramírez, Yohan",2024-03-31,R,R,SI,96.5,-1.49,0.58,-0.06,2.77,5.0,hit_into_play,106.8,14.0,219.81,101.66,Standard,double
608,668930,"Ramírez, Yohan",2024-03-31,L,R,FF,96.2,-1.71,0.19,-0.43,1.07,13.0,hit_into_play,77.9,13.0,69.89,142.65,Standard,double
614,624413,"Rea, Colin",2024-03-31,R,R,FC,89.2,-0.27,0.71,0.95,1.42,14.0,hit_into_play,73.0,19.0,179.6,139.6,Standard,single
616,607043,"Rea, Colin",2024-03-31,L,R,FC,85.3,-0.07,0.63,0.03,1.58,8.0,hit_into_play,95.7,-22.0,150.24,149.65,Standard,field_out
625,661388,"Ramírez, Yohan",2024-03-31,R,R,FF,96.6,-1.08,1.38,-0.78,2.21,4.0,hit_into_play,113.0,14.0,42.61,78.36,Standard,double
627,668930,"Megill, Tylor",2024-03-31,L,R,CU,77.6,0.58,-0.89,0.46,2.3,6.0,hit_into_play,82.2,1.0,145.39,147.23,Standard,field_out
628,624413,"Rea, Colin",2024-03-31,R,R,ST,82.5,0.95,0.15,0.7,1.13,14.0,hit_into_play,80.6,25.0,180.2,116.46,Standard,field_out
636,656555,"Megill, Tylor",2024-03-31,R,R,FC,94.6,0.13,0.7,0.51,2.38,6.0,hit_into_play,58.2,-70.0,123.79,193.38,Standard,grounded_into_double_play
651,668930,"Megill, Tylor",2024-03-31,L,R,FF,98.9,-0.48,1.26,0.31,2.81,3.0,hit_into_play,93.5,11.0,89.51,104.27,Standard,single
652,656555,"Megill, Tylor",2024-03-31,R,R,FF,96.7,-0.45,1.59,-0.05,2.66,5.0,hit_into_play,92.1,73.0,123.57,162.98,Standard,field_out
654,624413,"Rea, Colin",2024-03-31,R,R,SI,94.2,-1.64,0.85,-0.34,1.95,7.0,hit_into_play,91.1,15.0,195.0,119.5,Standard,single
656,607043,"Rea, Colin",2024-03-31,L,R,FC,89.2,0.0,1.2,-0.16,1.98,8.0,hit_into_play,107.0,7.0,147.38,139.89,Standard,field_out
666,661388,"Megill, Tylor",2024-03-31,R,R,SL,90.1,0.54,0.22,-0.08,2.3,5.0,hit_into_play,85.4,29.0,119.33,87.23,Standard,field_out
673,671732,"Barlow, Scott",2024-03-31,L,R,CU,76.4,1.66,-0.88,-0.73,1.73,7.0,hit_into_play,82.7,15.0,142.13,96.98,Standard,single
679,671732,"Carrasco, Carlos",2024-03-31,L,R,CU,79.8,0.81,-0.6,0.69,0.95,14.0,hit_into_play,94.4,40.0,102.28,86.14,Infield shade,field_out
698,621566,"Soto, Gregory",2024-03-31,L,L,SI,96.9,1.39,0.89,1.27,1.99,14.0,hit_into_play,101.5,49.0,185.96,93.64,Standard,field_out
699,663586,"Domínguez, Seranthony",2024-03-31,R,R,SI,96.7,-1.3,0.75,-0.97,3.09,11.0,hit_into_play,68.5,38.0,99.53,115.12,Standard,single
702,656941,"Bummer, Aaron",2024-03-31,L,L,ST,82.2,-1.62,0.07,0.08,2.15,8.0,hit_into_play,112.4,11.0,137.17,105.38,Infield shade,single
708,542303,"Strahm, Matt",2024-03-31,R,L,FF,91.5,0.9,1.6,0.37,2.98,3.0,hit_into_play,104.2,8.0,85.7,90.28,Standard,single
718,656941,"Sale, Chris",2024-03-31,L,L,SL,80.6,-0.87,-0.52,-0.93,1.73,13.0,hit_into_play,66.4,-2.0,142.76,157.3,Standard,grounded_into_double_play
721,542303,"Suárez, Ranger",2024-03-31,R,L,SI,93.4,1.06,0.47,-0.53,2.52,4.0,hit_into_play,89.8,9.0,109.86,128.23,Standard,field_out
734,663586,"Suárez, Ranger",2024-03-31,R,L,CU,75.7,-1.25,-0.9,0.06,1.9,8.0,hit_into_play,95.5,-1.0,39.13,120.65,Standard,double
741,656941,"Sale, Chris",2024-03-31,L,L,FF,94.5,1.23,1.21,0.23,2.57,5.0,hit_into_play,114.4,19.0,214.22,71.35,Infield shade,home_run
743,542303,"Suárez, Ranger",2024-03-31,R,L,SI,90.2,0.95,0.62,0.39,2.72,6.0,hit_into_play,58.4,-36.0,106.69,159.84,Standard,field_out
762,656305,"Avila, Pedro",2024-03-31,R,R,ST,80.5,1.41,-0.92,1.14,2.36,14.0,hit_into_play,77.4,2.0,107.88,154.61,Standard,field_out
765,592518,"Teng, Kai-Wei",2024-03-31,R,R,SI,94.1,-1.18,0.0,0.48,1.75,9.0,hit_into_play,94.8,-16.0,126.79,171.67,Strategic,field_out
769,656305,"Avila, Pedro",2024-03-31,R,R,SI,94.3,-0.94,0.73,-1.0,2.28,13.0,hit_into_play,79.8,-14.0,108.48,154.61,Standard,field_out
771,665487,"Teng, Kai-Wei",2024-03-31,R,R,SI,92.6,-0.97,0.66,0.12,3.1,5.0,hit_into_play,82.3,69.0,151.4,156.42,Strategic,field_out
773,592518,"Teng, Kai-Wei",2024-03-31,R,R,SI,94.6,-1.09,0.12,0.36,2.17,9.0,hit_into_play,103.8,20.0,208.49,79.08,Standard,double
780,656305,"King, Michael",2024-03-31,R,R,SI,91.0,-1.2,0.43,0.06,2.08,8.0,hit_into_play,94.5,21.0,114.07,58.99,Standard,field_out
782,592518,"Jefferies, Daulton",2024-03-31,R,R,SI,92.4,-1.37,0.72,-0.43,2.07,7.0,hit_into_play,99.2,-24.0,102.44,170.93,Strategic,fielders_choice_out
786,665487,"Jefferies, Daulton",2024-03-31,R,R,SI,92.2,-1.41,0.7,0.12,3.45,2.0,hit_into_play,92.4,33.0,151.65,62.12,Standard,field_out
790,592518,"Jefferies, Daulton",2024-03-31,R,R,FC,90.3,-0.33,0.66,-0.24,2.13,8.0,hit_into_play,104.0,17.0,153.43,65.53,Strategic,double
793,665487,"Jefferies, Daulton",2024-03-31,R,R,SL,79.9,0.37,0.19,0.09,1.7,8.0,hit_into_play,105.4,16.0,70.5,63.51,Standard,double
801,656305,"King, Michael",2024-03-31,R,R,SI,92.2,-1.27,0.23,0.39,2.95,6.0,hit_into_play,109.8,18.0,130.44,39.32,Standard,field_out
808,646240,"Thornton, Trent",2024-03-31,L,R,SL,91.9,0.3,0.25,-0.16,1.37,13.0,hit_into_play,101.0,-7.0,149.99,153.1,Infield shade,field_out
815,680776,"Thornton, Trent",2024-03-31,L,R,CH,88.4,-0.99,0.35,-0.2,2.42,5.0,hit_into_play,107.4,-5.0,116.53,152.59,Standard,force_out
819,593871,"Slaten, Justin",2024-03-31,L,R,ST,84.3,0.47,0.31,-0.05,1.61,8.0,hit_into_play,64.2,-26.0,142.09,158.1,Infield shade,field_out
820,677594,"Slaten, Justin",2024-03-31,R,R,ST,85.5,0.62,0.38,-0.36,1.76,7.0,hit_into_play,78.0,46.0,158.56,124.64,Standard,field_out
821,677800,"Snider, Collin",2024-03-31,L,R,ST,82.0,1.29,0.07,-0.09,2.14,8.0,hit_into_play,97.9,36.0,59.56,86.09,Infield shade,field_out
823,596115,"Snider, Collin",2024-03-31,R,R,ST,82.3,0.85,0.38,-0.93,1.99,13.0,hit_into_play,82.7,18.0,83.7,102.62,Standard,single
828,646240,"Snider, Collin",2024-03-31,L,R,FC,92.2,-0.17,0.38,1.78,2.53,12.0,hit_into_play,66.9,73.0,157.43,200.79,Infield shade,field_out
829,593871,"Weissert, Greg",2024-03-31,L,R,CH,85.1,-1.44,-0.13,-0.36,0.99,13.0,hit_into_play,80.4,25.0,128.06,87.83,Infield shade,field_out
833,677594,"Weissert, Greg",2024-03-31,R,R,SI,93.9,-1.26,0.21,-0.1,1.86,8.0,hit_into_play,108.8,8.0,142.89,146.0,Standard,field_out
836,680776,"Bolton, Cody",2024-03-31,L,R,FC,90.7,0.28,0.52,0.28,2.7,6.0,hit_into_play,101.3,-12.0,153.54,154.12,Standard,field_out
838,677800,"Bolton, Cody",2024-03-31,L,R,CH,90.4,-1.36,-0.08,-0.04,2.58,5.0,hit_into_play,109.6,14.0,176.06,77.98,Standard,single
841,596115,"Miller, Bryce",2024-03-31,R,R,SL,86.2,0.21,-0.15,0.07,2.15,8.0,hit_into_play,97.0,-9.0,78.51,116.09,Standard,single
850,680776,"Miller, Bryce",2024-03-31,L,R,FF,93.6,-0.44,1.63,0.38,2.46,6.0,hit_into_play,92.6,48.0,105.21,89.61,Standard,field_out
858,593871,"Whitlock, Garrett",2024-03-31,L,R,CH,87.4,-1.64,0.05,0.01,1.55,8.0,hit_into_play,40.7,-66.0,128.04,184.95,Infield shade,field_out
859,677594,"Whitlock, Garrett",2024-03-31,R,R,CH,87.1,-1.6,-0.09,0.04,1.21,14.0,hit_into_play,48.6,-73.0,127.92,192.73,Standard,field_out
866,646240,"Miller, Bryce",2024-03-31,L,R,FS,85.0,-0.67,0.48,-0.04,2.09,8.0,hit_into_play,106.2,9.0,168.68,151.86,Infield shade,field_out
868,680776,"Miller, Bryce",2024-03-31,L,R,FF,96.0,-0.47,1.38,0.25,3.05,2.0,hit_into_play,98.0,30.0,100.43,54.26,Infield shade,field_out
899,646240,"Miller, Bryce",2024-03-31,L,R,FF,96.5,-0.43,1.52,0.02,3.05,2.0,hit_into_play,107.3,7.0,175.84,117.61,Infield shade,single
905,672386,"Cleavinger, Garrett",2024-03-31,R,L,FF,96.6,0.55,1.35,-0.59,2.11,4.0,hit_into_play,80.3,22.0,159.45,102.85,Standard,field_out
917,668227,"White, Mitch",2024-03-31,R,R,SI,94.2,-1.1,0.98,-0.16,2.2,5.0,hit_into_play,82.8,52.0,163.47,118.93,Standard,field_out
920,664040,"White, Mitch",2024-03-31,L,R,CU,79.4,0.48,-1.29,-0.63,2.75,4.0,hit_into_play,94.0,24.0,178.49,68.81,Infield shade,field_out
930,665489,"Alexander, Tyler",2024-03-31,R,L,FC,83.5,-0.36,0.68,-0.03,2.69,5.0,hit_into_play,94.0,42.0,176.45,89.71,Infield shade,field_out
934,672386,"Alexander, Tyler",2024-03-31,R,L,ST,77.6,-1.24,0.48,-0.27,1.72,8.0,hit_into_play,56.0,69.0,163.62,191.76,Standard,field_out
937,668227,"Gausman, Kevin",2024-03-31,R,R,FF,94.6,-0.8,1.78,-0.46,2.53,4.0,hit_into_play,104.9,2.0,104.08,153.97,Standard,field_out
954,672386,"Alexander, Tyler",2024-03-31,R,L,FF,88.9,0.64,1.65,-0.76,2.82,1.0,hit_into_play,69.0,68.0,125.86,160.0,Standard,field_out
962,668227,"Gausman, Kevin",2024-03-31,R,R,FF,95.2,-1.08,1.45,-0.2,2.43,5.0,hit_into_play,107.1,25.0,198.45,61.38,Standard,home_run
967,664040,"Gausman, Kevin",2024-03-31,L,R,FS,85.1,-1.03,0.21,-0.3,2.42,4.0,hit_into_play,79.0,14.0,145.0,140.54,Infield shade,field_out
977,672386,"Armstrong, Shawn",2024-03-31,R,R,FF,94.2,-0.77,1.35,-0.28,3.63,11.0,hit_into_play,90.0,-10.0,128.3,136.41,Standard,single
